"PropertyID","SALE TYPE","PROPERTY TYPE","CITY","STATE OR PROVINCE","ZIP OR POSTAL CODE","PRICE","BEDS","BATHS","LOCATION","SQUARE FEET","LOT SIZE","YEAR BUILT","$/SQUARE FEET","SOURCE","INTERESTED","LATITUDE","LONGITUDE"
1,"MLS Listing","Single Family Residential","DALY CITY","CA",94014,1298000,3,2.5,"DALY CITY",2265,1770,2017,573,"MLSListings","Y",37.7026787,-122.4592766
2,"MLS Listing","Single Family Residential","Martinez","CA",94553,789000,3,2.5,"Martinez",1816,3200,1988,434,"bridgeMLS, Bay East AOR, or Contra Costa AOR","Y",37.9933447,-122.0808817
3,"MLS Listing","Condo/Co-op","Oakland","CA",94601,725000,2,2,"Oakland",1247,1228819.79,2004,581,"bridgeMLS, Bay East AOR, or Contra Costa AOR","Y",37.7720449,-122.2343136
4,"MLS Listing","Single Family Residential","Oakland","CA",94601,599000,3,2,"Fruitvale",912,3120,1924,657,"bridgeMLS, Bay East AOR, or Contra Costa AOR","Y",37.7892596,-122.2203279
5,"MLS Listing","Condo/Co-op","San Francisco","CA",94109,1298000,2,2,"Van Ness/Civic Center",989,1228819.79,2016,1312,"San Francisco MLS","Y",37.789553,-122.4232788
6,"MLS Listing","Condo/Co-op","San Francisco","CA",94103,858000,2,1,"Inner Mission",631,1228819.79,2014,1360,"San Francisco MLS","Y",37.7671013,-122.4194461
7,"MLS Listing","Condo/Co-op","San Francisco","CA",94109,680000,1,1,"Lower Pacific Height",661,1228819.79,1924,1029,"San Francisco MLS","Y",37.7887911,-122.4256463
8,"MLS Listing","Single Family Residential","FOSTER CITY","CA",94404,1998000,4,3,"FOSTER CITY",2360,6840,1972,847,"MLSListings","Y",37.5518394,-122.2603595
9,"MLS Listing","Condo/Co-op","MILLBRAE","CA",94030,648000,1,1,"MILLBRAE",764,1228819.79,1973,848,"MLSListings","Y",37.5827531,-122.4029973
10,"MLS Listing","Townhouse","Pleasanton","CA",94566,840000,3,2.5,"Del Valle Manor",1504,1375,1988,559,"bridgeMLS, Bay East AOR, or Contra Costa AOR","Y",37.6668132,-121.8713597
11,"MLS Listing","Townhouse","Clayton","CA",94517,779000,3,2.5,"Black Diamond",1939,3900,1991,402,"bridgeMLS, Bay East AOR, or Contra Costa AOR","Y",37.94856,-121.93941
12,"MLS Listing","Condo/Co-op","San Francisco","CA",94107,899000,1,1,"Potrero Hill",778,1228819.79,2007,1156,"San Francisco MLS","Y",37.764113,-122.4029865
13,"MLS Listing","Condo/Co-op","San Rafael","CA",94903,619000,2,2.5,"San Rafael",1022,1520,1989,606,"BAREIS","Y",37.998713,-122.5433176
14,"MLS Listing","Single Family Residential","SAN JOSE","CA",95126,1198888,3,2,"SAN JOSE",1518,3608,1978,790,"MLSListings","Y",37.3067365,-121.918666
15,"MLS Listing","Townhouse","Santa Clara","CA",95054,1348888,4,3,"Santa Clara",2077,2443,2005,649,"bridgeMLS, Bay East AOR, or Contra Costa AOR","Y",37.3975719,-121.95812
16,"MLS Listing","Single Family Residential","Hercules","CA",94547,1045000,4,3,"Victoria By The Bay",3027,6990,2003,345,"bridgeMLS, Bay East AOR, or Contra Costa AOR","Y",38.027967,-122.2713481
17,"MLS Listing","Single Family Residential","UNION CITY","CA",94587,720000,3,2,"UNION CITY",1552,5000,1945,464,"MLSListings","Y",37.6037278,-122.0229878
